"";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18";"Chañaral";"Flamenco";"Huasco";"Pta.Choros";"Quintero";"Las_Cruces";"Total"
"ASV0445";0;35;30;0;17;34;0;0;26;0;0;0;97;0;65;43;15;51;0;31;15;0;29;111;0;0;57;0;0;50;52;0;52;65;0;52;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;20;0;0;0;0;0;8;142;457;328;0;26;28;981
"ASV0448";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;736;0;0;82;0;0;102;0;0;0;0;0;0;0;53;920;973
"ASV0449";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;971;0;0;971
"ASV0451";341;0;0;0;0;0;38;0;0;33;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;227;0;0;72;0;0;54;0;0;101;466;0;0;47;0;454;967
"ASV0452";0;41;28;0;45;0;0;26;0;0;67;29;0;47;48;0;110;73;0;134;35;0;126;41;0;11;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;236;614;11;67;12;22;962
"ASV0454";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;28;0;82;76;102;0;62;110;72;70;107;0;97;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;4;0;0;0;0;0;0;62;828;0;64;4;958
"ASV0456";0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;6;435;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;56;0;0;93;0;0;144;0;0;76;0;0;0;0;62;22;435;68;56;313;956
"ASV0460";0;0;0;0;240;0;0;411;13;0;271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;935;0;0;0;11;0;946
"ASV0462";0;60;0;0;0;0;0;106;0;0;81;0;0;0;0;0;35;0;0;30;0;0;35;0;0;66;0;0;0;0;0;0;0;0;0;0;48;0;57;65;0;0;0;0;218;0;100;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;247;100;66;170;318;39;940
"ASV0468";0;33;26;0;17;31;0;0;14;0;0;0;106;0;41;37;20;44;0;30;14;0;39;117;0;0;41;0;0;49;50;0;71;40;0;48;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;19;0;0;0;0;0;11;121;448;299;0;25;30;923
