"From"	"to"	"rValue"	"pValue"	"n"	"colMeans..t.."	"From_type"	"To_type"
"119"	"ASV_1040"	"ASV_351"	0.606872498594044	0.0363978472435059	4333	0.000330398782291219	"Other"	"Other"
"120"	"ASV_1040"	"ASV_357"	0.637690483701137	0.0256898452320796	4334	0.000330398782291219	"Other"	"Other"
"121"	"ASV_1040"	"ASV_445"	0.601916361091547	0.0383773305700309	4335	0.000330398782291219	"Other"	"Other"
"122"	"ASV_1040"	"ASV_475"	0.759340640146259	0.00417485828282511	4336	0.000330398782291219	"Other"	"Other"
"123"	"ASV_1040"	"ASV_506"	0.686746987951807	0.013629180440748	4337	0.000330398782291219	"Other"	"Other"
"124"	"ASV_1040"	"ASV_614"	0.742692741750217	0.00565711659608054	4338	0.000330398782291219	"Other"	"Other"
"125"	"ASV_1040"	"ASV_647"	0.626506024096386	0.0292684886117927	4339	0.000330398782291219	"Other"	"Shared"
"126"	"ASV_1040"	"ASV_772"	0.684423645395585	0.0140802405692727	4340	0.000330398782291219	"Other"	"Other"
"127"	"ASV_1040"	"ASV_826"	0.758218931065473	0.00426428855338687	4341	0.000330398782291219	"Other"	"Other"
"128"	"ASV_1040"	"ASV_867"	0.630547667861664	0.0279363192412668	4342	0.000330398782291219	"Other"	"Other"
"129"	"ASV_1040"	"ASV_945"	0.747926870226103	0.00515414675450765	4343	0.000330398782291219	"Other"	"Other"
"130"	"ASV_1040"	"ASV_1187"	0.853765578276966	0.0175734787786925	4344	0.000330398782291219	"Other"	"Other"
"131"	"ASV_1040"	"ASV_1313"	0.839653750536851	0.0243403548284655	4345	0.000330398782291219	"Other"	"Other"
"132"	"ASV_1040"	"ASV_1679"	0.853765578276966	0.0175734787786925	4346	0.000330398782291219	"Other"	"Unique"
"133"	"ASV_1040"	"ASV_1938"	0.839653750536851	0.0243403548284655	4347	0.000330398782291219	"Other"	"Other"
"134"	"ASV_1040"	"ASV_2020"	0.839653750536851	0.0243403548284655	4348	0.000330398782291219	"Other"	"Other"
"135"	"ASV_1040"	"ASV_3176"	0.839653750536851	0.0243403548284655	4349	0.000330398782291219	"Other"	"Other"
"136"	"ASV_1040"	"ASV_3648"	0.839653750536851	0.0243403548284655	4350	0.000330398782291219	"Other"	"Other"
"137"	"ASV_1040"	"ASV_4128"	0.839653750536851	0.0243403548284655	4351	0.000330398782291219	"Other"	"Unique"
"138"	"ASV_1051"	"ASV_124"	0.604267319353088	0.0374290381434986	4352	0.000777991658646134	"Other"	"Other"
"139"	"ASV_1051"	"ASV_647"	0.630547667861664	0.0279363192412668	4353	0.000777991658646134	"Other"	"Shared"
"140"	"ASV_1051"	"ASV_945"	0.604267319353088	0.0374290381434986	4354	0.000777991658646134	"Other"	"Other"
"141"	"ASV_1051"	"ASV_1040"	0.630547667861664	0.0279363192412668	4355	0.000777991658646134	"Other"	"Other"
"142"	"ASV_1053"	"ASV_42"	0.604267319353088	0.0374290381434986	4356	0.000991959373416453	"Other"	"Shared"
"143"	"ASV_1053"	"ASV_254"	0.738548945875996	0.00608084792708854	4357	0.000991959373416453	"Other"	"Other"
"144"	"ASV_1053"	"ASV_304"	0.738548945875996	0.00608084792708854	4358	0.000991959373416453	"Other"	"Other"
"145"	"ASV_1053"	"ASV_442"	0.604267319353088	0.0374290381434986	4359	0.000991959373416453	"Other"	"Shared"
"146"	"ASV_1053"	"ASV_867"	0.738548945875996	0.00608084792708854	4360	0.000991959373416453	"Other"	"Other"
