"From"	"to"	"rValue"	"pValue"
"ASV0038"	"ASV0036"	0.747081827480879	0.0130204963044768
"ASV0038"	"ASV0037"	0.641379310344828	0.0456371234181449
"ASV0038"	"ASV0097"	0.867020263852601	0.0216475945741953
"ASV0038"	"ASV0101"	0.860478176294941	0.0252489374494765
"ASV0038"	"ASV0107"	0.851111635158058	0.0321484480331718
"ASV0038"	"ASV0142"	0.851111635158058	0.0321484480331718
"ASV0038"	"ASV0147"	0.851111635158058	0.0321484480331718
"ASV0038"	"ASV0211"	0.95386340473005	0.000359452273997928
"ASV0038"	"ASV0402"	0.986206896551724	3.14396235392502e-06
"ASV0038"	"ASV0866"	0.837610596838614	0.0433399701881811
"ASV0038"	"ASV1080"	0.852177737653199	0.0313400196942209
"ASV0038"	"ASV2130"	0.852177737653199	0.0313400196942209
"ASV0039"	"ASV0001"	0.873969589758616	0.000945449724125542
"ASV0039"	"ASV0003"	0.87663008172639	0.000871017153871181
"ASV0039"	"ASV0006"	0.87663008172639	0.000871017153871181
"ASV0039"	"ASV0008"	0.873969589758616	0.000945449724125542
"ASV0039"	"ASV0016"	0.815759885616737	0.00400978256146636
"ASV0039"	"ASV0017"	0.657472561294793	0.0388290711350277
"ASV0039"	"ASV0025"	0.884759746420894	0.000669940044273145
"ASV0039"	"ASV0029"	0.72835704072923	0.0169012628600397
"ASV0039"	"ASV0031"	0.837610596838614	0.0024886766574688
"ASV0039"	"ASV0034"	0.662804907063599	0.0367339171042368
"ASV0039"	"ASV0035"	0.730881682755858	0.0163364149728798
"ASV0039"	"ASV0036"	0.901721540705724	0.00036195160378019
"ASV0039"	"ASV0037"	0.932297012133414	8.46605984544487e-05
"ASV0039"	"ASV0038"	0.662804907063599	0.0367339171042368
"ASV0039"	"ASV0042"	0.953846153846154	0.000359452273997928
"ASV0039"	"ASV0046"	0.861538461538462	0.0245324687663908
"ASV0039"	"ASV0050"	0.901721540705724	0.00682803385656009
"ASV0039"	"ASV0053"	0.887632141632197	0.0113931179800484
"ASV0039"	"ASV0143"	0.915675454766337	0.00377827629809078
